Grepheme,Hieroglyph,Proto-Semitic,Akkadian,Ancient South-Arabian,Ge'ez,Ancient North-Arabian,Ugaritic alphabet,Proto-Sinaitic,Proto-Sinaitic B,Phoenician,Paleo-Hebrew,Samaritan,Syriac,Hebrew,Judeo Arabic,Aramaic,Later Aramaic Alphabet,Nabataean,Arabic,Parthian,Palmyrene,Hatran,Elymaic,Pahlavi,Old Sogdian
ḏiqq,𓍿,ð,z,𐩹,ዘ,𐪙,𐎏,Z,,𐤆,Z,ࠆ,ܕ,ז,זׄ,,,,ذ,𐭃,𐡣,𐣣,𐿣,𐭣,𐼈
naḥaš,𓆓,n,n,𐩬,ነ,𐪌,𐎐,N,,𐤍,L,ࠍ,ܢ,נ,נׄ,𐡍,,𐢔𐢕,ن,𐭍,𐡭𐡮,𐣭,𐿭,𐭭,𐼎𐼏𐼐
ẓil,𓋼,ðˤ,ṣ,𐩼,ጸ,𐪜,𐎑,C,,𐤑,C,ࠑ,ܛ,צ,טׄ,𐡈,,𐢋,ظ,𐭈,𐡨,𐣨,𐿨,𐭨𐭰,
ṡamk,𓊽,s,s,𐩪,ሰ,𐪊,𐎒,S,,𐤎,S,ࠎ,ܣ,ס,ס,𐡎,,𐢖,س,𐭎,𐡯,𐣮,𐿮,𐭮,𐼑
ʿayn,𓁹,ʕ,,𐩲,ዐ,𐪒,𐎓,[,,𐤏,[,ࠏ,ܥ,ע,ע,𐡏,,𐢗,ع,𐭏,𐡰,𐣯,𐿯,𐭥,𐼒𐼓𐼘
pu,𓂋,p,p,𐩰,ፈ,𐪐,𐎔,P,,𐤐,P,ࠐ,ܦ,פ,פׄ,𐡐,,𐢘,ف,𐭐,𐡱,𐣰,𐿰,𐭯,𐼔
ṣaday,𓇑,sˤ,ṣ,𐩮,ጸ,𐪎,𐎕,C,,𐤑,C,ࠑ,ܨ,צ,צ,𐡑,,𐢙,ص,𐭑,𐡲,𐣱,𐿱,𐭰,𐼕𐼖𐼗
ṣappa,,ɬˤ,ṣ,𐩳,ፀ,𐪓,𐎕,C,,𐤑,C,ࠑ,ܨ,צ,צׄ,𐡑,,𐢙,ض,𐭑,𐡲,𐣱,𐿱,𐭰,𐼕𐼖𐼗
qoba,𓎗,q,q,𐩤,ቀ,𐪄,𐎖,Q,,𐤒,Q,ࠒ,ܩ,ק,ק֔,𐡒,,𐢚,ق,𐭒,𐡳,𐣲,𐿲,,
raʾš,𓁶,r,r,𐩧,ረ,𐪇,𐎗,R,,𐤓,R,ࠓ,ܪ,ר,ר,𐡓,,𐢛,ر,𐭓,𐡴,,𐿳,𐭥,𐼘
ṯad,𓂑,θ,š,𐩻,ሰ,𐪛,𐎘,V,,𐤔,V,ࠔ,ܬ,ש,ת֒,𐡔,,𐢞,ث,𐭕,𐡶,𐣵,𐿵,𐭲,𐼚𐼛𐼜
šimš,𓇴,ʃ,š,𐩯,ሰ,𐪏,,V,,𐤔,V,ࠔ,ܫ,ש,ש,𐡔,,𐢜𐢝,س,𐭔,𐡵,𐣴,𐿴,𐭱,𐼙
ṯann,𓌔,s̀,š,,ሠ,,𐎌,F,,𐤔,V,ࠔ,ܫ,ש,ש֒,𐡔,,𐢜𐢝,ش,𐭔,𐡵,𐣴,𐿴,𐭱,𐼙
šin,𓂎,s̀,š,𐩦,ሠ,𐪆,𐎝,F,,𐤔,V,ࠔ,ܫ,ש,ש֒,𐡔,,𐢜𐢝,ش,𐭔,𐡵,𐣴,𐿴,𐭱,𐼙
ġabiʿ,,ɣ,,𐩶,ዐ,𐪖,𐎙,[,,,[,ࠏ,ܥ,ע,עׄ,𐡏,,𐢗,غ,𐭏,𐡰,𐣯,𐿯,𐭥,𐼒𐼓𐼘
tāw,𓏴,t,t,𐩩,ተ,𐪉,𐎚,T,,𐤕,T,ࠕ,ܬ,ת,ת֔,𐡕,,𐢞,ت,𐭕,𐡶,𐣵,𐿵,𐭲,𐼚𐼛𐼜
